172 1675676574 2,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676575 2,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676576 2,600000 -1,000000 -101,000000 0,000000 0,000000
183 1675676572 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676573 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676574 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676575 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676576 0,400000 -1,000000 -101,000000 0,000000 0,000000
172 1675676577 2,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676578 2,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676579 3,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676580 3,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676581 3,800000 -1,000000 -101,000000 0,000000 0,000000
183 1675676577 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676578 0,400000 -1,000000 -101,000000 0,000000 0,000000
183 1675676579 2,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676580 2,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676581 2,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676582 3,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676583 3,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676584 6,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676585 6,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676586 6,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676582 2,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676583 2,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676584 1,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676585 1,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676586 1,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676587 6,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676588 6,000000 -1,000000 -101,000000 0,000000 0,000000
172 1675676589 3,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676590 3,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676591 3,600000 -1,000000 -101,000000 0,000000 0,000000
183 1675676587 1,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676588 1,000000 -1,000000 -101,000000 0,000000 0,000000
183 1675676589 0,800000 -1,000000 -101,000000 0,000000 0,000000
183 1675676590 0,800000 -1,000000 -101,000000 0,000000 0,000000
183 1675676591 0,800000 -1,000000 -101,000000 0,000000 0,000000
172 1675676592 3,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676593 3,600000 -1,000000 -101,000000 0,000000 0,000000
172 1675676594 2,200000 -1,000000 -101,000000 0,000000 0,000000
