offline_datapoint_21 1675561040 0,044
offline_datapoint_13 1675561040 0,002
offline_datapoint_0 1675561040 0,042
offline_datapoint_4 1675561043 68,327
offline_datapoint_5 1675561045 7614742528,000
offline_datapoint_22 1675561045 1050,000
offline_datapoint_3 1675561043 26,029
offline_datapoint_1 1675561043 0,000
offline_datapoint_11 1675561043 122,472
offline_datapoint_6 1675561043 0,000
offline_datapoint_19 1675561043 1,001
offline_datapoint_17 1675561043 5,204
offline_datapoint_7 1675561043 71,248
offline_datapoint_16 1675561045 0,000
offline_datapoint_20 1675561045 231,000
offline_datapoint_10 1675561043 0,124
offline_datapoint_2 1675561043 0,000
offline_datapoint_15 1675561043 0,124
offline_datapoint_8 1675561043 1,665
offline_datapoint_14 1675561043 1,665
offline_datapoint_18 1675561043 0,000
offline_datapoint_12 1675561043 0,001
offline_datapoint_9 1675561043 0,001
offline_datapoint_21 1675561043 0,001
offline_datapoint_13 1675561043 0,001
offline_datapoint_0 1675561043 0,000
offline_datapoint_4 1675561046 68,316
offline_datapoint_5 1675561048 7613595648,000
offline_datapoint_22 1675561048 1050,000
offline_datapoint_3 1675561046 0,000
offline_datapoint_1 1675561046 0,000
offline_datapoint_11 1675561046 381,877
offline_datapoint_6 1675561046 0,000
offline_datapoint_19 1675561046 0,000
offline_datapoint_17 1675561046 4,838
offline_datapoint_7 1675561046 71,318
offline_datapoint_16 1675561048 0,000
offline_datapoint_20 1675561048 231,000
offline_datapoint_10 1675561046 0,240
offline_datapoint_2 1675561046 0,000
offline_datapoint_15 1675561046 0,240
offline_datapoint_8 1675561046 7,998
offline_datapoint_14 1675561046 7,998
offline_datapoint_18 1675561046 0,000
offline_datapoint_12 1675561046 0,000
offline_datapoint_9 1675561046 0,000
offline_datapoint_21 1675561046 0,002
offline_datapoint_13 1675561046 0,002
offline_datapoint_0 1675561046 0,000
offline_datapoint_4 1675561049 68,316
offline_datapoint_5 1675561051 7613517824,000
offline_datapoint_22 1675561051 1050,000
offline_datapoint_3 1675561049 0,000
offline_datapoint_1 1675561049 0,000
offline_datapoint_11 1675561049 80,317
offline_datapoint_6 1675561049 0,000
offline_datapoint_19 1675561049 1,709
offline_datapoint_17 1675561049 5,438
offline_datapoint_7 1675561049 0,000
offline_datapoint_16 1675561051 0,000
offline_datapoint_20 1675561051 231,000
offline_datapoint_10 1675561049 0,689
offline_datapoint_2 1675561049 0,000
offline_datapoint_15 1675561049 0,689
offline_datapoint_8 1675561049 4,995
offline_datapoint_14 1675561049 4,995
offline_datapoint_18 1675561049 0,000
offline_datapoint_12 1675561049 0,001
offline_datapoint_9 1675561049 0,001
offline_datapoint_21 1675561049 0,007
offline_datapoint_13 1675561049 0,007
offline_datapoint_0 1675561049 0,000
offline_datapoint_4 1675561052 68,288
offline_datapoint_5 1675561054 7610449920,000
offline_datapoint_22 1675561054 1050,000
offline_datapoint_3 1675561052 0,000
offline_datapoint_1 1675561052 0,000
offline_datapoint_11 1675561052 324,319
offline_datapoint_6 1675561052 1,999
offline_datapoint_19 1675561052 0,776
